"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef","date"
"T50100","A929RC","1","Gross saving","1947Q1","Current Dollars","Level","6","47,141","T50100",1947-01-01
"T50100","A929RC","1","Gross saving","1947Q2","Current Dollars","Level","6","46,741","T50100",1947-04-01
"T50100","A929RC","1","Gross saving","1947Q3","Current Dollars","Level","6","49,078","T50100",1947-07-01
"T50100","A929RC","1","Gross saving","1947Q4","Current Dollars","Level","6","54,010","T50100",1947-10-01
"T50100","A929RC","1","Gross saving","1948Q1","Current Dollars","Level","6","58,984","T50100",1948-01-01
"T50100","A929RC","1","Gross saving","1948Q2","Current Dollars","Level","6","62,694","T50100",1948-04-01
"T50100","A929RC","1","Gross saving","1948Q3","Current Dollars","Level","6","61,970","T50100",1948-07-01
"T50100","A929RC","1","Gross saving","1948Q4","Current Dollars","Level","6","62,353","T50100",1948-10-01
"T50100","A929RC","1","Gross saving","1949Q1","Current Dollars","Level","6","54,730","T50100",1949-01-01
"T50100","A929RC","1","Gross saving","1949Q2","Current Dollars","Level","6","48,555","T50100",1949-04-01
"T50100","A929RC","1","Gross saving","1949Q3","Current Dollars","Level","6","50,095","T50100",1949-07-01
"T50100","A929RC","1","Gross saving","1949Q4","Current Dollars","Level","6","44,831","T50100",1949-10-01
"T50100","A929RC","1","Gross saving","1950Q1","Current Dollars","Level","6","53,150","T50100",1950-01-01
"T50100","A929RC","1","Gross saving","1950Q2","Current Dollars","Level","6","61,688","T50100",1950-04-01
"T50100","A929RC","1","Gross saving","1950Q3","Current Dollars","Level","6","67,063","T50100",1950-07-01
"T50100","A929RC","1","Gross saving","1950Q4","Current Dollars","Level","6","77,621","T50100",1950-10-01
"T50100","A929RC","1","Gross saving","1951Q1","Current Dollars","Level","6","74,302","T50100",1951-01-01
"T50100","A929RC","1","Gross saving","1951Q2","Current Dollars","Level","6","82,497","T50100",1951-04-01
"T50100","A929RC","1","Gross saving","1951Q3","Current Dollars","Level","6","80,749","T50100",1951-07-01
"T50100","A929RC","1","Gross saving","1951Q4","Current Dollars","Level","6","81,545","T50100",1951-10-01
"T50100","A929RC","1","Gross saving","1952Q1","Current Dollars","Level","6","81,962","T50100",1952-01-01
"T50100","A929RC","1","Gross saving","1952Q2","Current Dollars","Level","6","75,968","T50100",1952-04-01
"T50100","A929RC","1","Gross saving","1952Q3","Current Dollars","Level","6","79,307","T50100",1952-07-01
"T50100","A929RC","1","Gross saving","1952Q4","Current Dollars","Level","6","82,260","T50100",1952-10-01
"T50100","A929RC","1","Gross saving","1953Q1","Current Dollars","Level","6","83,956","T50100",1953-01-01
"T50100","A929RC","1","Gross saving","1953Q2","Current Dollars","Level","6","84,213","T50100",1953-04-01
"T50100","A929RC","1","Gross saving","1953Q3","Current Dollars","Level","6","83,716","T50100",1953-07-01
"T50100","A929RC","1","Gross saving","1953Q4","Current Dollars","Level","6","76,000","T50100",1953-10-01
"T50100","A929RC","1","Gross saving","1954Q1","Current Dollars","Level","6","78,853","T50100",1954-01-01
"T50100","A929RC","1","Gross saving","1954Q2","Current Dollars","Level","6","79,205","T50100",1954-04-01
"T50100","A929RC","1","Gross saving","1954Q3","Current Dollars","Level","6","80,182","T50100",1954-07-01
"T50100","A929RC","1","Gross saving","1954Q4","Current Dollars","Level","6","84,658","T50100",1954-10-01
