"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef","date"
"T11200","A032RC","1","National income","1947Q1","Current Dollars","Level","6","213,000","T11200",1947-01-01
"T11200","A032RC","1","National income","1947Q2","Current Dollars","Level","6","215,599","T11200",1947-04-01
"T11200","A032RC","1","National income","1947Q3","Current Dollars","Level","6","219,196","T11200",1947-07-01
"T11200","A032RC","1","National income","1947Q4","Current Dollars","Level","6","227,168","T11200",1947-10-01
"T11200","A032RC","1","National income","1948Q1","Current Dollars","Level","6","235,848","T11200",1948-01-01
"T11200","A032RC","1","National income","1948Q2","Current Dollars","Level","6","244,049","T11200",1948-04-01
"T11200","A032RC","1","National income","1948Q3","Current Dollars","Level","6","248,774","T11200",1948-07-01
"T11200","A032RC","1","National income","1948Q4","Current Dollars","Level","6","250,735","T11200",1948-10-01
"T11200","A032RC","1","National income","1949Q1","Current Dollars","Level","6","243,317","T11200",1949-01-01
"T11200","A032RC","1","National income","1949Q2","Current Dollars","Level","6","239,735","T11200",1949-04-01
"T11200","A032RC","1","National income","1949Q3","Current Dollars","Level","6","239,882","T11200",1949-07-01
"T11200","A032RC","1","National income","1949Q4","Current Dollars","Level","6","235,983","T11200",1949-10-01
"T11200","A032RC","1","National income","1950Q1","Current Dollars","Level","6","246,329","T11200",1950-01-01
"T11200","A032RC","1","National income","1950Q2","Current Dollars","Level","6","258,482","T11200",1950-04-01
"T11200","A032RC","1","National income","1950Q3","Current Dollars","Level","6","275,558","T11200",1950-07-01
"T11200","A032RC","1","National income","1950Q4","Current Dollars","Level","6","286,082","T11200",1950-10-01
"T11200","A032RC","1","National income","1951Q1","Current Dollars","Level","6","297,818","T11200",1951-01-01
"T11200","A032RC","1","National income","1951Q2","Current Dollars","Level","6","305,197","T11200",1951-04-01
"T11200","A032RC","1","National income","1951Q3","Current Dollars","Level","6","310,552","T11200",1951-07-01
"T11200","A032RC","1","National income","1951Q4","Current Dollars","Level","6","316,979","T11200",1951-10-01
"T11200","A032RC","1","National income","1952Q1","Current Dollars","Level","6","318,523","T11200",1952-01-01
"T11200","A032RC","1","National income","1952Q2","Current Dollars","Level","6","320,447","T11200",1952-04-01
"T11200","A032RC","1","National income","1952Q3","Current Dollars","Level","6","326,976","T11200",1952-07-01
"T11200","A032RC","1","National income","1952Q4","Current Dollars","Level","6","338,501","T11200",1952-10-01
"T11200","A032RC","1","National income","1953Q1","Current Dollars","Level","6","344,485","T11200",1953-01-01
"T11200","A032RC","1","National income","1953Q2","Current Dollars","Level","6","347,303","T11200",1953-04-01
"T11200","A032RC","1","National income","1953Q3","Current Dollars","Level","6","345,593","T11200",1953-07-01
"T11200","A032RC","1","National income","1953Q4","Current Dollars","Level","6","337,974","T11200",1953-10-01
"T11200","A032RC","1","National income","1954Q1","Current Dollars","Level","6","339,616","T11200",1954-01-01
"T11200","A032RC","1","National income","1954Q2","Current Dollars","Level","6","339,906","T11200",1954-04-01
"T11200","A032RC","1","National income","1954Q3","Current Dollars","Level","6","343,287","T11200",1954-07-01
"T11200","A032RC","1","National income","1954Q4","Current Dollars","Level","6","352,199","T11200",1954-10-01
"T11200","A032RC","1","National income","1955Q1","Current Dollars","Level","6","364,606","T11200",1955-01-01
"T11200","A032RC","1","National income","1955Q2","Current Dollars","Level","6","373,957","T11200",1955-04-01
"T11200","A032RC","1","National income","1955Q3","Current Dollars","Level","6","381,358","T11200",1955-07-01
"T11200","A032RC","1","National income","1955Q4","Current Dollars","Level","6","387,693","T11200",1955-10-01
"T11200","A032RC","1","National income","1956Q1","Current Dollars","Level","6","391,241","T11200",1956-01-01
"T11200","A032RC","1","National income","1956Q2","Current Dollars","Level","6","397,010","T11200",1956-04-01
"T11200","A032RC","1","National income","1956Q3","Current Dollars","Level","6","401,885","T11200",1956-07-01
"T11200","A032RC","1","National income","1956Q4","Current Dollars","Level","6","410,083","T11200",1956-10-01
"T11200","A032RC","1","National income","1957Q1","Current Dollars","Level","6","416,849","T11200",1957-01-01
"T11200","A032RC","1","National income","1957Q2","Current Dollars","Level","6","418,912","T11200",1957-04-01
"T11200","A032RC","1","National income","1957Q3","Current Dollars","Level","6","422,581","T11200",1957-07-01
"T11200","A032RC","1","National income","1957Q4","Current Dollars","Level","6","415,786","T11200",1957-10-01
"T11200","A032RC","1","National income","1958Q1","Current Dollars","Level","6","409,686","T11200",1958-01-01
"T11200","A032RC","1","National income","1958Q2","Current Dollars","Level","6","411,600","T11200",1958-04-01
"T11200","A032RC","1","National income","1958Q3","Current Dollars","Level","6","424,479","T11200",1958-07-01
"T11200","A032RC","1","National income","1958Q4","Current Dollars","Level","6","437,247","T11200",1958-10-01
"T11200","A032RC","1","National income","1959Q1","Current Dollars","Level","6","448,267","T11200",1959-01-01
"T11200","A032RC","1","National income","1959Q2","Current Dollars","Level","6","462,360","T11200",1959-04-01
"T11200","A032RC","1","National income","1959Q3","Current Dollars","Level","6","459,614","T11200",1959-07-01
"T11200","A032RC","1","National income","1959Q4","Current Dollars","Level","6","464,844","T11200",1959-10-01
"T11200","A032RC","1","National income","1960Q1","Current Dollars","Level","6","478,066","T11200",1960-01-01
"T11200","A032RC","1","National income","1960Q2","Current Dollars","Level","6","478,810","T11200",1960-04-01
"T11200","A032RC","1","National income","1960Q3","Current Dollars","Level","6","480,248","T11200",1960-07-01
"T11200","A032RC","1","National income","1960Q4","Current Dollars","Level","6","478,467","T11200",1960-10-01
"T11200","A032RC","1","National income","1961Q1","Current Dollars","Level","6","480,301","T11200",1961-01-01
"T11200","A032RC","1","National income","1961Q2","Current Dollars","Level","6","489,935","T11200",1961-04-01
"T11200","A032RC","1","National income","1961Q3","Current Dollars","Level","6","499,689","T11200",1961-07-01
"T11200","A032RC","1","National income","1961Q4","Current Dollars","Level","6","514,228","T11200",1961-10-01
