"date","series_id","value","realtime_start","realtime_end"
2013-07-01,"DRTSCILM",-18.1,2023-01-20,2023-01-20
2013-10-01,"DRTSCILM",-8.3,2023-01-20,2023-01-20
2014-01-01,"DRTSCILM",-13.7,2023-01-20,2023-01-20
2014-04-01,"DRTSCILM",-11.1,2023-01-20,2023-01-20
2014-07-01,"DRTSCILM",-10.7,2023-01-20,2023-01-20
2014-10-01,"DRTSCILM",-10.5,2023-01-20,2023-01-20
2015-01-01,"DRTSCILM",-5.5,2023-01-20,2023-01-20
2015-04-01,"DRTSCILM",-5.3,2023-01-20,2023-01-20
2015-07-01,"DRTSCILM",-7,2023-01-20,2023-01-20
2015-10-01,"DRTSCILM",7.4,2023-01-20,2023-01-20
2016-01-01,"DRTSCILM",8.2,2023-01-20,2023-01-20
2016-04-01,"DRTSCILM",11.6,2023-01-20,2023-01-20
2016-07-01,"DRTSCILM",8.5,2023-01-20,2023-01-20
2016-10-01,"DRTSCILM",1.5,2023-01-20,2023-01-20
2017-01-01,"DRTSCILM",1.4,2023-01-20,2023-01-20
2017-04-01,"DRTSCILM",-2.8,2023-01-20,2023-01-20
2017-07-01,"DRTSCILM",-3.9,2023-01-20,2023-01-20
2017-10-01,"DRTSCILM",-8.5,2023-01-20,2023-01-20
2018-01-01,"DRTSCILM",-10,2023-01-20,2023-01-20
2018-04-01,"DRTSCILM",-11.3,2023-01-20,2023-01-20
2018-07-01,"DRTSCILM",-15.9,2023-01-20,2023-01-20
2018-10-01,"DRTSCILM",-15.9,2023-01-20,2023-01-20
2019-01-01,"DRTSCILM",2.8,2023-01-20,2023-01-20
2019-04-01,"DRTSCILM",-4.2,2023-01-20,2023-01-20
2019-07-01,"DRTSCILM",-2.8,2023-01-20,2023-01-20
2019-10-01,"DRTSCILM",5.4,2023-01-20,2023-01-20
2020-01-01,"DRTSCILM",0,2023-01-20,2023-01-20
2020-04-01,"DRTSCILM",41.5,2023-01-20,2023-01-20
2020-07-01,"DRTSCILM",71.2,2023-01-20,2023-01-20
2020-10-01,"DRTSCILM",37.7,2023-01-20,2023-01-20
2021-01-01,"DRTSCILM",5.5,2023-01-20,2023-01-20
2021-04-01,"DRTSCILM",-15.1,2023-01-20,2023-01-20
2021-07-01,"DRTSCILM",-32.4,2023-01-20,2023-01-20
2021-10-01,"DRTSCILM",-18.2,2023-01-20,2023-01-20
2022-01-01,"DRTSCILM",-14.5,2023-01-20,2023-01-20
2022-04-01,"DRTSCILM",-1.5,2023-01-20,2023-01-20
2022-07-01,"DRTSCILM",24.2,2023-01-20,2023-01-20
2022-10-01,"DRTSCILM",39.1,2023-01-20,2023-01-20
