date,revenue,f_revenue,employment,f_employment,part_time_employment,f_part_time_employment,avg_work_week,f_avg_work_week,wages,f_wages,input_prices,f_input_prices,selling_prices,f_selling_prices,capex,f_capex,outlook,f_outlook,biz_climate,f_biz_climate,uncertainty
2021-05-01,24.4,59.5,13.1,41.1,6.3,17.0,12.0,14.8,27.1,50.6,44.8,51.2,23.7,35.5,17.3,33.7,26.9,43.8,41.7,49.6,-5.1
2021-06-01,17.1,55.6,11.3,38.8,6.0,19.4,11.3,15.2,31.5,49.7,45.9,51.5,29.1,40.3,15.4,29.2,22.8,36.9,38.6,43.9,1.5
2021-07-01,22.1,52.7,12.9,42.2,9.0,17.6,8.5,15.3,28.1,53.1,43.4,51.8,25.3,38.1,20.6,32.0,25.9,32.7,35.1,37.9,6.7
2021-08-01,16.9,45.1,17.7,37.6,6.3,14.9,12.0,14.6,33.2,49.1,43.3,48.1,21.7,33.8,16.4,27.6,5.7,21.0,7.4,22.6,20.3
2021-09-01,15.0,45.0,9.3,36.9,4.8,9.5,5.6,7.5,27.6,49.7,44.5,53.2,21.5,34.6,12.5,27.7,6.5,24.4,9.4,24.5,19.6
2021-10-01,19.3,56.6,14.3,42.8,6.9,16.5,13.7,12.9,35.5,58.7,48.2,49.8,23.9,38.6,12.3,30.5,14.3,30.6,21.9,32.7,12.5
2021-11-01,25.8,54.6,13.0,45.6,10.2,16.5,13.0,13.5,35.9,56.0,53.0,59.8,31.2,47.3,20.0,34.4,17.3,26.8,23.9,29.9,13.0
2021-12-01,21.0,53.5,11.0,41.5,6.3,14.8,10.3,12.1,36.3,56.3,49.1,57.9,28.5,43.7,16.5,35.5,14.4,21.2,14.9,21.7,10.4
2022-01-01,2.6,53.2,8.4,36.9,3.4,17.7,7.5,13.2,37.3,54.7,51.0,63.0,30.0,45.7,19.2,32.2,-1.1,19.8,-0.1,16.3,19.7
2022-02-01,22.2,51.3,14.6,38.2,6.5,11.7,10.2,12.5,34.4,56.0,51.3,60.0,29.8,45.0,19.0,34.5,14.1,24.5,16.1,20.5,7.8
2022-03-01,23.9,55.2,14.9,39.9,7.0,18.2,9.5,13.0,36.2,56.3,59.3,64.6,34.1,49.5,14.9,29.7,2.4,14.4,9.6,14.7,22.7
2022-04-01,11.4,46.2,14.7,33.1,2.8,11.4,9.3,7.2,32.5,52.4,54.6,59.7,34.1,41.6,12.7,27.7,1.3,13.8,7.1,5.6,19.3
2022-05-01,6.2,34.8,8.1,32.6,3.0,8.7,5.2,8.5,34.3,50.9,54.1,61.7,32.8,40.4,14.3,28.5,0.3,0.1,0.0,-4.7,25.2
2022-06-01,9.7,18.2,7.4,23.7,2.0,-0.5,4.6,2.7,34.1,50.2,56.3,66.3,29.2,36.7,11.7,20.8,-15.5,-19.6,-13.2,-24.9,41.1
2022-07-01,9.9,34.7,14.3,31.4,1.7,6.2,4.6,3.7,27.2,50.2,50.2,57.7,25.3,37.1,16.1,25.0,-6.1,1.9,-11.9,-8.4,22.4
2022-08-01,7.3,40.1,8.4,30.4,1.0,9.7,2.7,3.2,25.6,47.2,44.9,53.2,22.9,36.1,10.2,19.1,-3.5,5.1,-6.4,-1.5,20.1
2022-09-01,6.1,34.6,10.3,29.3,1.7,4.7,2.5,5.6,23.8,49.5,48.7,56.1,20.5,37.2,11.6,20.0,-2.5,3.0,-6.2,-7.5,14.4
2022-10-01,8.5,31.9,8.7,25.1,2.6,3.6,4.8,1.4,22.1,46.5,51.8,56.8,19.0,41.0,12.4,18.1,-10.1,-3.8,-14.2,-14.5,27.6
2022-11-01,5.4,34.9,8.1,27.6,0.7,3.1,4.4,4.5,25.1,44.7,46.4,51.1,17.0,35.9,12.3,22.2,-5.3,3.5,-11.7,-7.7,23.4
2022-12-01,-0.6,32.9,5.3,20.6,-1.4,3.9,-1.8,5.9,19.9,40.2,43.4,51.5,19.6,38.1,9.6,19.7,-11.0,-1.7,-20.5,-13.1,22.0
2023-01-01,4.9,39.4,10.5,24.4,1.2,4.4,0.9,1.7,21.7,38.7,38.8,47.2,18.9,35.2,6.4,24.2,-8.3,6.3,-15.0,-4.4,20.0
2023-02-01,6.6,42.2,8.8,28.9,4.0,5.7,1.8,4.4,19.4,40.4,40.6,53.7,19.8,31.9,10.6,22.4,-1.7,10.8,-9.3,-3.6,12.9
2023-03-01,5.5,34.4,-0.4,21.5,1.4,2.4,-1.8,1.6,19.8,36.9,38.3,42.1,11.4,24.4,7.4,13.1,-11.3,-5.3,-18.0,-12.2,22.8
2023-04-01,6.9,26.0,5.5,22.1,-3.7,-0.2,-0.3,1.1,18.4,42.9,35.5,47.7,16.1,27.6,10.3,16.0,-9.4,-3.8,-14.4,-13.0,16.1
